"Date & Time","use [kW]","gen [kW]","Voltaje.Linea 1 [kW]","Voltaje.Linea 2 [V]","Voltaje.Linea 3 [V]","Frecuencia.Linea 1 [Hz]","r1 [kW]","r1+ [kW]","r1* [kVA]","r2 [kW]","r2* [kVA]","r3 [kW]","r4 [V]","r5 [V]","r6 [Hz]","CFE modificado [kW]","Generacion Modificado [kW]","FP GL1 [kW]","FP GL2 [kW]","FP CFE L1 []","FP CFE L2 [kW]"
2016-03-07 23:59:00,23.353650000,35.425050000,-0.000000000,266.727433333,266.358316667,59.989966667,35.425050000,35.425050000,35.868700000,12.071400000,13.818100000,-0.000000000,266.727433333,266.358316667,59.989966667,12.071400000,35.425050000,6.294900000,5.599983333,873.683333333,-3.096233333
2016-03-07 23:58:00,23.368750000,35.501350000,-0.000000000,266.651700000,266.326933333,60.003383333,35.501350000,35.501350000,35.954850000,12.132600000,13.965000000,-0.000000000,266.651700000,266.326933333,60.003383333,12.132600000,35.501350000,6.411583333,5.508733333,868.733333333,-3.205950000
2016-03-07 23:57:00,23.439200000,35.470750000,-0.000000000,266.700850000,266.345600000,60.054483333,35.470750000,35.470750000,35.927800000,12.031550000,13.892100000,-0.000000000,266.700850000,266.345600000,60.054483333,12.031550000,35.470750000,6.406550000,5.503533333,866.050000000,-3.206283333
2016-03-07 23:56:00,23.415550000,35.415200000,-0.000000000,266.433600000,266.106550000,60.050766667,35.415200000,35.415200000,35.864200000,11.999650000,13.854250000,-0.000000000,266.433600000,266.106550000,60.050766667,11.999650000,35.415200000,6.399383333,5.492083333,866.066666667,-3.203450000
2016-03-07 23:55:00,23.421450000,35.397700000,-0.000000000,266.544350000,266.181350000,60.044283333,35.397700000,35.397700000,35.850500000,11.976250000,13.822750000,-0.000000000,266.544350000,266.181350000,60.044283333,11.976250000,35.397700000,6.378066667,5.507566667,866.350000000,-3.178366667
2016-03-07 23:54:00,24.975100000,35.322900000,-0.000000000,266.426150000,266.060833333,60.024050000,35.322900000,35.322900000,35.813650000,10.347800000,12.079850000,-0.000000000,266.426150000,266.060833333,60.024050000,10.347800000,35.322900000,6.425133333,5.434566667,855.616666667,-2.532333333
2016-03-07 23:53:00,25.740750000,35.341600000,-0.000000000,266.152666667,265.806150000,60.003016667,35.341600000,35.341600000,35.843200000,9.600850000,11.307100000,-0.000000000,266.152666667,265.806150000,60.003016667,9.600850000,35.341600000,6.496216667,5.369083333,849.066666667,-2.278066667
2016-03-07 23:52:00,25.763550000,35.303300000,-0.000000000,265.934133333,265.565766667,60.002783333,35.303300000,35.303300000,35.793700000,9.539750000,11.205000000,-0.000000000,265.934133333,265.565766667,60.002783333,9.539750000,35.303300000,6.474333333,5.378450000,851.400000000,-2.253466667
2016-03-07 23:51:00,25.715550000,35.303050000,-0.000000000,265.799683333,265.442700000,59.989083333,35.303050000,35.303050000,35.781500000,9.587500000,11.160400000,-0.000000000,265.799683333,265.442700000,59.989083333,9.587500000,35.303050000,6.470866667,5.381633333,859.000000000,-2.252583333
2016-03-07 23:50:00,25.731700000,35.382250000,-0.000000000,265.809333333,265.485766667,60.004333333,35.382250000,35.382250000,35.853250000,9.650550000,11.244450000,-0.000000000,265.809333333,265.485766667,60.004333333,9.650550000,35.382250000,6.489016667,5.390533333,858.183333333,-2.275783333
2016-03-07 23:49:00,25.727900000,35.308200000,-0.000000000,266.102600000,265.737783333,59.989100000,35.308200000,35.308200000,35.787000000,9.580300000,11.251150000,-0.000000000,266.102600000,265.737783333,59.989100000,9.580300000,35.308200000,6.500166667,5.354083333,851.516666667,-2.282483333
2016-03-07 23:48:00,25.732450000,35.367750000,-0.000000000,266.537383333,266.186150000,60.003116667,35.367750000,35.367750000,35.799600000,9.635300000,11.124300000,-0.000000000,266.537383333,266.186150000,60.003116667,9.635300000,35.367750000,6.261233333,5.614150000,866.116666667,-2.042566667
2016-03-07 23:47:00,25.700150000,35.292900000,-0.000000000,266.661800000,266.288183333,60.013633333,35.292900000,35.292900000,35.725400000,9.592750000,11.093850000,-0.000000000,266.661800000,266.288183333,60.013633333,9.592750000,35.292900000,6.283650000,5.566283333,864.583333333,-2.071650000
2016-03-07 23:46:00,25.992950000,35.321700000,-0.000000000,266.566733333,266.216450000,59.975683333,35.321700000,35.321700000,35.755200000,9.328750000,10.876600000,-0.000000000,266.566733333,266.216450000,59.975683333,9.328750000,35.321700000,6.287916667,5.571683333,857.900000000,-1.999300000
2016-03-07 23:45:00,23.404550000,35.455500000,-0.000000000,266.467850000,266.153966667,60.010350000,35.455500000,35.455500000,35.899850000,12.050950000,13.792650000,-0.000000000,266.467850000,266.153966667,60.010350000,12.050950000,35.455500000,6.364533333,5.540283333,873.750000000,-3.152566667
2016-03-07 23:44:00,23.433650000,35.373500000,-0.000000000,266.629483333,266.285933333,60.037566667,35.373500000,35.373500000,35.818950000,11.939850000,13.693150000,-0.000000000,266.629483333,266.285933333,60.037566667,11.939850000,35.373500000,6.350716667,5.526400000,871.916666667,-3.146733333
2016-03-07 23:43:00,23.425650000,35.401100000,-0.000000000,266.359483333,266.047750000,60.018066667,35.401100000,35.401100000,35.896200000,11.975450000,13.929600000,-0.000000000,266.359483333,266.047750000,60.018066667,11.975450000,35.401100000,6.511900000,5.373300000,859.883333333,-3.300083333
2016-03-07 23:42:00,23.444850000,35.363750000,-0.000000000,266.057533333,265.756416667,60.003566667,35.363750000,35.363750000,35.875700000,11.918900000,13.959850000,-0.000000000,266.057533333,265.756416667,60.003566667,11.918900000,35.363750000,6.573083333,5.299550000,853.800000000,-3.348750000
2016-03-07 23:41:00,23.446950000,35.357750000,-0.000000000,265.876066667,265.548850000,59.996933333,35.357750000,35.357750000,35.903600000,11.910800000,14.061350000,-0.000000000,265.876066667,265.548850000,59.996933333,11.910800000,35.357750000,6.648500000,5.221950000,847.366666667,-3.422516667
2016-03-07 23:40:00,23.436500000,35.337300000,-0.000000000,266.006716667,265.668050000,59.982400000,35.337300000,35.337300000,35.857300000,11.900800000,13.991800000,-0.000000000,266.006716667,265.668050000,59.982400000,11.900800000,35.337300000,6.607016667,5.257416667,850.666666667,-3.378633333
2016-03-07 23:39:00,23.422900000,35.301950000,-0.000000000,265.977116667,265.614600000,59.966816667,35.301950000,35.301950000,35.796350000,11.879050000,13.863850000,-0.000000000,265.977116667,265.614600000,59.966816667,11.879050000,35.301950000,6.513650000,5.338866667,856.833333333,-3.287450000
2016-03-07 23:38:00,23.441100000,35.340000000,-0.000000000,266.041333333,265.677566667,59.986650000,35.340000000,35.340000000,35.840250000,11.898900000,13.874000000,-0.000000000,266.041333333,265.677566667,59.986650000,11.898900000,35.340000000,6.507350000,5.358033333,857.683333333,-3.281333333
2016-03-07 23:37:00,23.429700000,35.339600000,-0.000000000,266.046550000,265.698966667,59.981666667,35.339600000,35.339600000,35.832150000,11.909900000,13.866650000,-0.000000000,266.046550000,265.698966667,59.981666667,11.909900000,35.339600000,6.503050000,5.362000000,858.866666667,-3.276583333
2016-03-07 23:36:00,23.420500000,35.375850000,-0.000000000,266.218383333,265.859516667,59.990816667,35.375850000,35.375850000,35.846100000,11.955350000,13.791750000,-0.000000000,266.218383333,265.859516667,59.990816667,11.955350000,35.375850000,6.401383333,5.476283333,866.850000000,-3.182150000
2016-03-07 23:35:00,23.411450000,35.348700000,-0.000000000,266.304716667,265.933466667,60.001833333,35.348700000,35.348700000,35.826050000,11.937250000,13.776150000,-0.000000000,266.304716667,265.933466667,60.001833333,11.937250000,35.348700000,6.370266667,5.498583333,866.550000000,-3.158316667
2016-03-07 23:34:00,23.405600000,35.366000000,-0.000000000,265.973516667,265.619533333,59.994316667,35.366000000,35.366000000,35.872500000,11.960400000,13.868050000,-0.000000000,265.973516667,265.619533333,59.994316667,11.960400000,35.366000000,6.398733333,5.475900000,863.000000000,-3.186150000
2016-03-07 23:33:00,23.483850000,35.408550000,-0.000000000,266.169016667,265.822600000,59.997966667,35.408550000,35.408550000,35.890450000,11.924700000,13.683800000,-0.000000000,266.169016667,265.822600000,59.997966667,11.924700000,35.408550000,6.396500000,5.492116667,871.683333333,-3.055200000
2016-03-07 23:32:00,25.104950000,35.226250000,-0.000000000,266.038400000,265.577966667,60.013450000,35.226250000,35.226250000,35.667000000,10.121300000,11.559300000,-0.000000000,266.038400000,265.577966667,60.013450000,10.121300000,35.226250000,6.210466667,5.617933333,874.800000000,-2.137416667
2016-03-07 23:31:00,25.706150000,35.269850000,-0.000000000,265.961516667,265.528300000,60.015416667,35.269850000,35.269850000,35.707450000,9.563700000,11.071150000,-0.000000000,265.961516667,265.528300000,60.015416667,9.563700000,35.269850000,6.247983333,5.595166667,863.783333333,-2.050433333
2016-03-07 23:30:00,25.675350000,35.305950000,-0.000000000,265.917666667,265.495766667,60.007550000,35.305950000,35.305950000,35.732400000,9.630600000,11.137900000,-0.000000000,265.917666667,265.495766667,60.007550000,9.630600000,35.305950000,6.060633333,5.795266667,864.450000000,-1.866233333
2016-03-07 23:29:00,25.693300000,35.291450000,-0.000000000,265.777350000,265.358866667,60.012250000,35.291450000,35.291450000,35.733600000,9.598150000,11.172700000,-0.000000000,265.777350000,265.358866667,60.012250000,9.598150000,35.291450000,6.227950000,5.622716667,858.966666667,-2.033766667
2016-03-07 23:28:00,25.701000000,35.332350000,-0.000000000,266.100366667,265.714050000,60.011100000,35.332350000,35.332350000,35.761700000,9.631350000,11.149000000,-0.000000000,266.100366667,265.714050000,60.011100000,9.631350000,35.332350000,6.108100000,5.756550000,863.816666667,-1.900666667
2016-03-07 23:27:00,25.687600000,35.341700000,-0.000000000,265.950316667,265.567550000,60.016716667,35.341700000,35.341700000,35.771150000,9.654100000,11.189900000,-0.000000000,265.950316667,265.567550000,60.016716667,9.654100000,35.341700000,6.093583333,5.774166667,862.733333333,-1.893733333
2016-03-07 23:26:00,25.684650000,35.384750000,-0.000000000,266.601150000,266.245900000,60.014200000,35.384750000,35.384750000,35.822700000,9.700100000,11.269650000,-0.000000000,266.601150000,266.245900000,60.014200000,9.700100000,35.384750000,6.106600000,5.775233333,860.616666667,-1.901200000
2016-03-07 23:25:00,25.644600000,35.300350000,-0.000000000,266.850033333,266.449783333,59.970983333,35.300350000,35.300350000,35.735500000,9.655750000,11.196950000,-0.000000000,266.850033333,266.449783333,59.970983333,9.655750000,35.300350000,6.058733333,5.794750000,862.283333333,-1.838400000
2016-03-07 23:24:00,25.747200000,35.334750000,-0.000000000,266.960700000,266.562733333,59.963350000,35.334750000,35.334750000,35.762900000,9.587550000,11.136450000,-0.000000000,266.960700000,266.562733333,59.963350000,9.587550000,35.334750000,6.005516667,5.859766667,860.866666667,-1.759033333
2016-03-07 23:23:00,25.281800000,35.327050000,-0.000000000,266.988933333,266.635650000,59.981466667,35.327050000,35.327050000,35.793250000,10.045250000,11.717400000,-0.000000000,266.988933333,266.635650000,59.981466667,10.045250000,35.327050000,6.187400000,5.674350000,856.483333333,-2.177433333
2016-03-07 23:22:00,23.373500000,35.464900000,-0.000000000,267.061250000,266.756900000,59.980450000,35.464900000,35.464900000,35.951050000,12.091400000,13.823050000,-0.000000000,267.061250000,266.756900000,59.980450000,12.091400000,35.464900000,6.091316667,5.817483333,874.766666667,-2.870516667
2016-03-07 23:21:00,23.382750000,35.436400000,-0.000000000,267.020700000,266.709216667,59.988483333,35.436400000,35.436400000,35.920000000,12.053650000,13.787650000,-0.000000000,267.020700000,266.709216667,59.988483333,12.053650000,35.436400000,6.147266667,5.751716667,874.200000000,-2.928316667
2016-03-07 23:20:00,23.400550000,35.420400000,-0.000000000,267.112916667,266.795600000,59.987150000,35.420400000,35.420400000,35.907800000,12.019850000,13.744900000,-0.000000000,267.112916667,266.795600000,59.987150000,12.019850000,35.420400000,6.119016667,5.774350000,874.433333333,-2.894083333
2016-03-07 23:19:00,23.396350000,35.381950000,-0.000000000,266.871766667,266.518883333,59.986150000,35.381950000,35.381950000,35.884750000,11.985600000,13.709550000,-0.000000000,266.871766667,266.518883333,59.986150000,11.985600000,35.381950000,6.088983333,5.791983333,874.266666667,-2.870633333
